pr_number,title,url,state,merged,primary_category,work_area,solution_type,hardware_scope,operator_keywords,top_patterns
4,Use FlashAttention for `multi_query_kv_attention`,https://github.com/vllm-project/vllm/pull/4,closed,False,performance,attention_kv_cache,kernel_fix,nvidia,attention;kernel,hardware_arch_guard;model_format_adapter;build_dependency_packaging;verification_benchmarking;kv_cache_capacity_offload
6,Automatically configure KV cache size,https://github.com/vllm-project/vllm/pull/6,closed,False,performance,attention_kv_cache,,nvidia,cache,model_format_adapter;hardware_arch_guard;verification_benchmarking;kv_cache_capacity_offload
7,Support beam search & parallel generation,https://github.com/vllm-project/vllm/pull/7,closed,False,correctness,sampling_logits,,nvidia,sampling,hardware_arch_guard;model_format_adapter;verification_benchmarking
12,Implement preemption via recomputation & Refactor scheduling logic,https://github.com/vllm-project/vllm/pull/12,closed,False,performance,scheduler_memory,kernel_fix,nvidia,cuda;kernel,hardware_arch_guard;build_dependency_packaging;scheduler_request_lifecycle;verification_benchmarking;metadata_layout_contract
16,Add custom kernel for RMS normalization,https://github.com/vllm-project/vllm/pull/16,closed,False,performance,,kernel_fix,nvidia,cuda;kernel,hardware_arch_guard;model_format_adapter;build_dependency_packaging;verification_benchmarking
20,Optimize data movement,https://github.com/vllm-project/vllm/pull/20,closed,False,performance,,performance_optimization,,kernel;operator,metadata_layout_contract
21,Add ninja to dependency,https://github.com/vllm-project/vllm/pull/21,closed,False,development,attention_kv_cache,dependency_fix,,attention,build_dependency_packaging;hardware_arch_guard
27,Add query stride to multi_query_cached_kv_attention & Add kernel benchmark script,https://github.com/vllm-project/vllm/pull/27,closed,False,performance,attention_kv_cache,kernel_fix,,attention;kernel,model_format_adapter;metadata_layout_contract;verification_benchmarking;backend_routing_fallback
29,Memcpy kernel for flash attention,https://github.com/vllm-project/vllm/pull/29,closed,False,performance,attention_kv_cache;scheduler_memory,performance_optimization,nvidia,attention;kernel,hardware_arch_guard;verification_benchmarking;dtype_quantization_path;metadata_layout_contract;scheduler_request_lifecycle
32,Implement block copy kernel to optimize beam search,https://github.com/vllm-project/vllm/pull/32,closed,False,performance,,kernel_fix,,kernel,hardware_arch_guard;metadata_layout_contract
53,Refactor attention kernels,https://github.com/vllm-project/vllm/pull/53,closed,False,correctness,attention_kv_cache;sampling_logits,kernel_fix,nvidia,attention;kernel,dtype_quantization_path;build_dependency_packaging;scheduler_request_lifecycle;bitwise_determinism_equivalence
68,Fix a bug in attention kernel,https://github.com/vllm-project/vllm/pull/68,closed,False,correctness,attention_kv_cache,kernel_fix,,attention;kernel,build_dependency_packaging;verification_benchmarking;bitwise_determinism_equivalence
70,Replace FlashAttention with xformers,https://github.com/vllm-project/vllm/pull/70,closed,False,performance,attention_kv_cache,kernel_fix,nvidia,attention;cuda;operator,build_dependency_packaging;hardware_arch_guard;backend_routing_fallback
90,Log system stats,https://github.com/vllm-project/vllm/pull/90,closed,False,performance,attention_kv_cache;frontend_api;scheduler_memory,performance_optimization,,cache,scheduler_request_lifecycle;verification_benchmarking;kv_cache_capacity_offload
130,Improve setup script & Add a guard for bfloat16 kernels,https://github.com/vllm-project/vllm/pull/130,closed,False,development,ci_build,kernel_fix,,kernel,build_dependency_packaging;dtype_quantization_path
209,"GPTBigCode (StarCoder, SantaCoder Support)",https://github.com/vllm-project/vllm/pull/209,closed,False,performance,attention_kv_cache;model_support,kernel_fix,nvidia,cuda,hardware_arch_guard;model_format_adapter;verification_benchmarking;dtype_quantization_path;build_dependency_packaging
221,Add half rmsnorm kernel,https://github.com/vllm-project/vllm/pull/221,closed,False,correctness,activation_norm,kernel_fix,,activation;kernel,build_dependency_packaging;verification_benchmarking;bitwise_determinism_equivalence
222,Add half rmsnorm kernel,https://github.com/vllm-project/vllm/pull/222,closed,False,correctness,activation_norm,kernel_fix,nvidia,activation;kernel,build_dependency_packaging;hardware_arch_guard;verification_benchmarking;bitwise_determinism_equivalence
269,Add more verbose error for missing CUDA_HOME,https://github.com/vllm-project/vllm/pull/269,closed,False,development,ci_build,dependency_fix,nvidia,cuda,build_dependency_packaging;hardware_arch_guard;model_format_adapter;backend_routing_fallback
