issue_number,title,url,priority,clusters,comments_count,linked_prs,work_area,evidence,wiki_page
33123,[Bug][ROCm]: Prefix caching produces different output on first request (cache miss) vs subsequent requests (cache hit),https://github.com/vllm-project/vllm/issues/33123,64,prefix_cache_equivalence;kernel_autotune_reduction;kv_identity_concurrency;verification_contract;backend_specific_drift,17,#33759;#33761;#34878;#35553;#40179,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;sampling_logits;scheduler_memory;speculative_decoding,[Bug][ROCm]: Prefix caching produces different output on first request (cache miss) vs subsequent requests (cache hit) attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;sampling_logits;scheduler_memory;speculative_de...,cases/33xxx/33123-bug-rocm-prefix-caching-produces-different-output-on-first-request-cac.md
27433,[Feature]: Batch Invariant Feature and Performance Optimization,https://github.com/vllm-project/vllm/issues/27433,55,prefix_cache_equivalence;batch_invariance;kernel_autotune_reduction;quant_dtype_semantics;verification_contract;backend_specific_drift,47,#30018;#33537;#33688;#40034;#43317;#43656,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;quantization;speculative_decoding,[Feature]: Batch Invariant Feature and Performance Optimization ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;quantization;speculative_decoding porting;model_support;quantization;speculative_decoding cuda build_error;nondeterminist...,cases/27xxx/27433-feature-batch-invariant-feature-and-performance-optimization.md
33338,[Bug]: Crash when using presence_penalty with Qwen3-VL in v0.11.0,https://github.com/vllm-project/vllm/issues/33338,48,prefix_cache_equivalence;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,2,#4;#6;#7;#12;#16;#20;#21,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;moe;multimodal_vlm;quantization;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding ns/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 2.9%, Prefix cache hit rate: 0.0% [rank1]:[W129 01:36:13.600077635 TCPStore.cpp:106] [c10d] sendBytes failed on SocketImpl(fd=75, addr=[::ffff:127.0.0.1]:60208... [Bug]: Crash when u...",cases/33xxx/33338-bug-crash-when-using-presence-penalty-with-qwen3-vl-in-v0-11-0.md
37392,[Bug]:推理时报错，模型关闭了。部署的Qwen3.5-122B-A10B-FP8模型,https://github.com/vllm-project/vllm/issues/37392,47,kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,16,#4;#6;#7;#37412,ci_build;distributed_parallel;frontend_api;model_support;multimodal_vlm;quantization;sampling_logits;scheduler_memory,scheduler_memory scheduler_memory cuda;fp8;kernel;quantization;sampling build_error;crash;mismatch;slowdown dtype;env_dependency;race_condition;shape #4 Use FlashAttention for `multi_query_kv_attention` | #6 Automatically configure KV c... [Bug]:推理时报错，模型关闭了。部...,cases/37xxx/37392-bug-qwen3-5-122b-a10b-fp8.md
38256,[RFC]: Incremental MoE Expert Offloading — GPU Cache + Async Pipeline,https://github.com/vllm-project/vllm/issues/38256,47,prefix_cache_equivalence;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,5,#29941;#31938;#34535;#37190,activation_norm;attention_kv_cache;ci_build;distributed_parallel;frontend_api;model_support;moe;quantization;sampling_logits;scheduler_memory,scheduler_memory s the hottest experts; LFRU eviction and cross-layer prediction minimize cache misses. Models that exceed GPU VRAM can run on smaller hardware. **PR 1 is open:** [#37190](https://github.com/vllm-project/vllm/pull/37190)... [RFC]: Incremental...,cases/38xxx/38256-rfc-incremental-moe-expert-offloading-gpu-cache-async-pipeline.md
39096,[Bug]: Batch invariance breaks with torch.compile and/or CUDA graphs on SM<90,https://github.com/vllm-project/vllm/issues/39096,47,batch_invariance;quant_dtype_semantics;verification_contract,6,#27660;#30018;#38938,activation_norm;attention_kv_cache;ci_build;distributed_parallel;gemm_linear;hardware_porting;model_support;speculative_decoding,[Bug]: Batch invariance breaks with torch.compile and/or CUDA graphs on SM<90 activation_norm;attention_kv_cache;ci_build;distributed_parallel;gemm_linear;hardware_porting;model_support;speculative_decoding [Bug]: Batch invariance breaks with torch.compile an...,cases/39xxx/39096-bug-batch-invariance-breaks-with-torch-compile-and-or-cuda-graphs-on-s.md
29521,[CI Failure]: mi325_1: Samplers Test,https://github.com/vllm-project/vllm/issues/29521,45,batch_invariance;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,12,#31076;#31077,ci_build;hardware_porting;model_support;sampling_logits;scheduler_memory,"- Tests: Beam search output consistency with/without concurrency limits - Failure: Output mismatch between concurrent and sequential beam search - Configuration: TinyLlama-1.1B, beam_width=4, max_tokens=64, dtype=half - Likely cause: Non-deterministic behavio...",cases/29xxx/29521-ci-failure-mi325-1-samplers-test.md
41789,[Bug]: gemma4 31B MTP Avg Draft acceptance rate: 0.2%,https://github.com/vllm-project/vllm/issues/41789,44,prefix_cache_equivalence;batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,8,#42069,activation_norm;attention_kv_cache;ci_build;distributed_parallel;frontend_api;model_support;moe;multimodal_vlm;quantization;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding GPU memory footprint and boosts the performance. Meanwhile, it may cause accuracy drop without a proper scaling factor (APIServer pid=1) INFO 05-06 06:05:23 [model.py:563] Resolved architecture: Gemma4MTPModel (APIServe... [Bug]: gemma4 31B M...",cases/41xxx/41789-bug-gemma4-31b-mtp-avg-draft-acceptance-rate-0-2.md
9306,[Bug]: Failed to pickle inputs of failed execution: CUDA error: an illegal memory access was encountered,https://github.com/vllm-project/vllm/issues/9306,43,kernel_autotune_reduction;kv_identity_concurrency;verification_contract;backend_specific_drift,14,#4;#6;#7;#9931,ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;moe;sampling_logits;speculative_decoding,ulative_decoding tive_decoding cuda;kernel;moe;operator;sampling;triton build_error;crash;mismatch env_dependency #4 Use FlashAttention for `multi_query_kv_attention` | #6 Automatically configure KV cache size | #7 Support beam search &... [Bug]: Failed to pi...,cases/09xxx/9306-bug-failed-to-pickle-inputs-of-failed-execution-cuda-error-an-illegal-.md
23582,[Bug]: vLLM server timeout due to multiprocessing communication error,https://github.com/vllm-project/vllm/issues/23582,43,prefix_cache_equivalence;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,11,#4;#6;#7;#20988,attention_kv_cache;ci_build;distributed_parallel;frontend_api;model_support;quantization;scheduler_memory,"scheduler_memory /s, Running: 224 reqs, Waiting: 0 reqs, GPU KV cache usage: 3.2%, Prefix cache hit rate: 6.8% (VllmWorker TP1 pid=406) ERROR 08-25 12:24:17 [multiproc_executor.py:596] WorkerProc hit an exception. (VllmWorker TP1 pid=40... [Bug]: vLLM server...",cases/23xxx/23582-bug-vllm-server-timeout-due-to-multiprocessing-communication-error.md
42948,[Bug]: Prefix-cache 0% hit on re-sent request — DeepSeek-V4-Flash hybrid groups lose all first-block cache keys on every request reassignment (DSv4 variant of #32802),https://github.com/vllm-project/vllm/issues/42948,43,prefix_cache_equivalence;batch_invariance;kernel_autotune_reduction;kv_identity_concurrency;verification_contract;backend_specific_drift,11,#33270;#42985;#43302,attention_kv_cache;ci_build;distributed_parallel;frontend_api;gemm_linear;hardware_porting;model_support;moe;quantization;sampling_logits;scheduler_memory;speculative_decoding,"culative_decoding imension on top. I'm happy to test patches on this setup — the repro is deterministic, the DIAG patches are minimal bind-mounts, and the 2× H200 box can churn through experiments in <5 minutes per round. ## Roadmap cont... [Bug]: Prefix-cach...",cases/42xxx/42948-bug-prefix-cache-0-hit-on-re-sent-request-deepseek-v4-flash-hybrid-gro.md
13418,[Bug][v1][rocm] cuda graph gets stuck in case padding is used to meet a captured input size,https://github.com/vllm-project/vllm/issues/13418,42,prefix_cache_equivalence;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,9,#4;#6;#7;#12;#16,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;sampling_logits;scheduler_memory;speculative_decoding,"ulative_decoding /s, Running: 13 reqs, Waiting: 3 reqs, GPU KV cache usage: 13.3%, Prefix cache hit rate: 0.0% model finished hidden_states tensor([[ 1.1240e+00, 2.7363e+00, -1.0684e+00, ..., -1.4736e+00, 7.3340e-01, 1.0488e+00], [ 1.20... [Bug][v1][rocm] cud...",cases/13xxx/13418-bug-v1-rocm-cuda-graph-gets-stuck-in-case-padding-is-used-to-meet-a-ca.md
15333,"[Bug]: Can't deserialize object: ObjectRef，DeepSeek R1, H20*16, pp2, tp8, v1 engine",https://github.com/vllm-project/vllm/issues/15333,42,prefix_cache_equivalence;kernel_autotune_reduction;kv_identity_concurrency;quant_dtype_semantics;verification_contract;backend_specific_drift,8,#41606;#41766;#41859;#42056;#42717,attention_kv_cache;ci_build;distributed_parallel;frontend_api;hardware_porting;model_support;quantization;scheduler_memory;speculative_decoding,"ulative_decoding /s, Running: 114 reqs, Waiting: 0 reqs, GPU KV cache usage: 4.6%, Prefix cache hit rate: 41.1% 2025-03-22 14:19:51,837 ERROR serialization.py:462 -- Can't deserialize object: ObjectRef(00d79c14e01d192396a5305789ff03046a... [Bug]: Can't deseri...",cases/15xxx/15333-bug-can-t-deserialize-object-objectref-deepseek-r1-h20-16-pp2-tp8-v1-e.md
40628,[RFC][vLLM IR]: Batch Invariance Dispatching in vLLM IR,https://github.com/vllm-project/vllm/issues/40628,42,batch_invariance;kernel_autotune_reduction;quant_dtype_semantics;backend_specific_drift,14,#36816;#40408;#40413,activation_norm;attention_kv_cache;ci_build;distributed_parallel;hardware_porting;model_support;quantization,[RFC][vLLM IR]: Batch Invariance Dispatching in vLLM IR activation_norm;attention_kv_cache;ci_build;distributed_parallel;hardware_porting;model_support;quantization [RFC][vLLM IR]: Batch Invariance Dispatching in vLLM IR rocm;RFC;vllm-ir **Related:** #32358 *...,cases/40xxx/40628-rfc-vllm-ir-batch-invariance-dispatching-in-vllm-ir.md
